id,dong,bus_station,bcc_rentalshop,hanriver_acc,history,theater,art,culture,museum,library,perfomance,park,shopping,doolle_munhwagil,gym,amusement_park,book,general_restaurant,rest_restaurant,restroom,bike_rental_mean,seoul_sites
546,원효로동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
547,월곡동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
548,은천동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
549,을지로3가치안센터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
550,을지로동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
551,음암동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
552,음앙동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
553,인수동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
554,인현동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
555,자양1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
556,자양도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
557,장위2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
558,장충동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
559,장한동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
560,조원동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
561,종로가동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
562,종로동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
563,중곡2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
564,중곡4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
565,중앙동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
566,창신,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
567,청룡동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
568,청림동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
569,청파동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
570,충정로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
571,충현동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
572,치전트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
573,필동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
574,한강로3가동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
575,한강로동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
576,해화동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577,화곡1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
578,화곡2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
579,화곡본동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
580,회현동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
581,효청동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
