id,dong,bus_station,bcc_rentalshop,hanriver_acc,history,theater,art,culture,museum,library,perfomance,park,shopping,doolle_munhwagil,gym,amusement_park,book,general_restaurant,rest_restaurant,restroom,bike_rental_mean,seoul_sites
416,사간동,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
417,산림동,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0
418,산천동,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
419,삼선동1가,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0
420,삼선동2가,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
421,삼선동3가,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
422,삼선동4가,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
423,서계동,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,2,0,0
424,세종로,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,4,0,0
425,수송동,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0
426,수하동,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
427,신교동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
428,신창동,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,안국동,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0
430,안암동1가,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
431,안암동2가,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
432,안암동3가,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
433,양화동,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
434,영등포동6가,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0
435,영천동,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
436,예관동,1,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0
437,오곡동,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,9,2,0,0
438,오쇠동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0
439,오장동,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,2,0,0
440,옥인동,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
441,옥천동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
442,원서동,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,원효로1가,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0
444,의주로1가,2,0,0,0,0,1,0,0,0,0,59,0,0,0,0,0,0,1,0,0,1
445,익선동,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
446,인사동,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0
447,인현동1가,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0
448,인현동2가,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,2,0,0
449,입정동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
450,저동2가,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,1,0,3,0,0
451,주교동,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0
452,중림동,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,1,2,4,0,1
453,창성동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
454,청파동1가,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0
455,청파동3가,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0
456,체부동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
457,충무로2가,0,0,0,0,0,1,0,1,0,0,32,0,0,0,0,3,0,0,10,0,0
458,충무로5가,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,0
