,company,brand,category,estb_date,com_type,register_date,asset_2018,debt_2018,equity_2018,sales_2018,opr_2018,ni_2018,asset_2019,debt_2019,equity_2019,sales_2019,opr_2019,ni_2019,asset_2020,debt_2020,equity_2020,sales_2020,opr_2020,ni_2020,emp_임원,emp_직원,emp_total,n_brand,family_com,fran_start_year,total_store_2018, com_own_store_2018, fran_store_2018,total_store_2019, com_own_store_2019, fran_store_2019,total_store_2020, com_own_store_2020, fran_store_2020,new_store_2018, finish_1_store_2018, finish_2_store_2018,new_store_2019, finish_1_store_2019, finish_2_store_2019,new_store_2020, finish_1_store_2020, finish_2_store_2020,sub_hq, adv_fee, sales_fee, fran_type, deposit_fee,violation_1, violation_2, violation_3,fran_fee, traing_fee, deposit, etc_fee, total_fee,interior_fee_per_area, area_criterion, total_interior_fee,contract_term_initial, contract_term_re
5281,뜰5커피,뜰커피,커피,2019.04.24,개인,2018.03.15,"44,088",153,"43,935","172,952","10,534","10,534","69,234","4,845","64,389","369,681","24,905","24,854","21,156","1,868","19,288","516,608","-20,900","-20,900",1,0,1,1,0,6/25/2018,1,1,0,6,0,6,17,1,16,0,0,0,6,0,0,10,0,0,0,0,0,보험,"7,500",0,0,0,"5,500","1,100","2,000","90,200","98,800","2,750",50,"41,250",2,1
5303,(주)에스엠홀딩스,앤더스커피(anduscoffee),커피,2012.02.15,법인,2014.01.10,"87,101","678,479","-591,378","45,511","-107,026","-107,022","83,414","781,148","-697,734","36,000","-106,361","-106,356","86,712","811,689","-724,977","72,781","-27,248","-27,242",2,1,3,1,0,2/15/2014,1,0,1,2,0,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,보험,"11,600",0,0,0,"3,300","3,300","5,000","96,800","108,400","2,750",66,"55,000",1,1
5351,(주)무진,텐퍼센트스페셜티커피,커피,2016.12.01,법인,2018.08.31,"273,461","277,230","-3,769","690,172","-41,201","-37,982","656,296","310,910","345,386","2,101,140","235,221","249,155","778,470","799,809","-21,339","1,917,450","-420,869","-366,724",3,20,23,3,0,3/27/2020,0,0,0,2,2,0,4,1,3,0,0,0,0,0,0,3,0,0,0,"26,800",0,예치제,"10,700",0,0,0,"5,500","2,200","3,000","63,250","73,950","2,200",33,"22,000",2,1
5385,(주)비케이컴퍼니,아마스빈,커피,2014.04.10,법인,2013.07.08,"139,526","69,242","70,284","348,056","109,956","111,441","865,924","331,937","533,987","1,291,909","461,346","463,702","1,484,119","787,048","697,071","1,925,058","247,871","245,726",4,8,12,1,0,8/12/2008,49,0,49,78,1,77,126,1,125,8,2,0,32,4,0,48,0,0,0,"99,263",0,예치제,"11,800",0,0,0,"5,500","3,300","3,000","54,800","66,600","2,200",33,"22,000",1,1
5400,(주)더츠굿,더츠커피,커피,2011.07.01,법인,2015.07.16,"4,088,732","3,486,187","602,545","2,337,208","-435,113","14,516","5,208,743","4,599,476","609,267","1,963,562","-1,794","6,721","3,833,464","3,315,213","518,251","1,803,853","-118,699","-91,015",3,12,15,1,0,4/13/2012,5,3,2,7,4,3,6,3,3,0,0,0,1,0,0,0,0,0,0,153,0,예치제,"16,200",0,0,0,"11,000","2,200","3,000","145,200","161,400","2,750",132,"110,000",3,3
5415,(주)경성글로벌,경성코페,커피,2017.02.09,법인,2017.08.18,"371,531","243,838","127,693","1,385,351","-71,143","-71,096","390,117","350,894","39,223","731,596","-88,386","-88,469","379,754","368,871","10,883","930,962","-28,033","-28,340",5,5,10,1,0,2/19/2017,8,1,7,11,1,10,11,0,11,7,0,0,3,0,0,2,0,1,0,790,0,예치제,"17,300",0,0,0,"11,000","3,300","3,000","167,200","184,500","2,420",132,"96,800",3,1
5460,(주)핵가족,핵커피,커피,2016.08.11,법인,2016.01.18,"1,795,791","1,304,761","491,030","7,009,721","355,655","302,711","2,267,736","1,598,951","668,785","5,818,211","174,903","177,754","2,561,924","1,791,242","770,682","5,256,298","195,909","101,897",2,14,16,7,0,8/27/2015,3,0,3,4,0,4,3,0,3,0,0,1,2,0,1,0,0,1,0,"26,285",0,예치제,"10,800",0,0,0,"5,500","3,300","2,000","50,380","61,180","2,475",26,"19,800",3,2
5498,(주)지인터내셔날피엔케이,TOBBYS(토비즈커피),커피,2016.10.28,법인,2018.10.17,"95,724","58,751","36,973","530,242","20,183","20,194","332,991","5,656","327,335","509,065","21,059","20,362","397,005","36,055","360,950","840,886","25,733","33,615",2,0,2,1,0,11/15/2018,0,0,0,3,2,1,4,3,1,0,0,0,1,0,0,0,0,0,0,805,0,예치제,"21,500",0,0,0,"11,000","5,500","5,000","143,000","164,500","2,640",83,"66,000",2,2
5529,(주)푸디아,하와이코나사자커피,커피,2009.12.21,법인,2014.05.19,"713,249","431,048","282,201","1,204,234","64,138","62,411","860,364","577,861","282,503","599,446","-6,744",301,"817,826","537,703","280,123","311,212","9,570","-2,379",3,3,6,1,0,1/15/2008,10,5,5,6,2,4,6,3,3,0,0,0,1,2,0,0,1,0,0,0,0,예치제,"13,000",2,0,0,"8,800","2,200","2,000","59,400","72,400","2,200",50,"33,000",2,2
5540,(주)슈퍼커피,슈퍼커피,커피,2014.04.01,법인,2014.05.15,"515,847","408,825","107,022","1,666,142","11,062","-10,419","449,106","339,474","109,632","1,126,548","11,997","2,610","462,755","344,283","118,472","1,041,649","-1,917","8,839",1,6,7,1,0,1/1/2014,46,3,43,38,2,36,33,1,32,4,10,0,0,7,0,3,0,7,0,151,0,예치제,"17,100",0,0,0,"8,800","3,300","5,000","48,598","65,698","3,668",23,"25,674",2,2
