id,name,sic,sic_adj,fran,nbran,dome,year,gta,gts,roa,roe,opr,nir,deratio,icr,ncratio,nclratio,cratio,qratio,cashratio,tat,set,ncat,ivt,eff_inv,eff_wquip,opersurp,laborcost,finexp,dep,roa_roa,roa_nir,roa_tat,roe_roe,roe_nir,roe_tat,roe_drl,opercf,invcf,fincf,dcl,dol,dfl
2021_25,(주)에스엠엔터프라이즈,56123,4,2,2,1,2020,-21.62,-46.62,-21.23,-95.66,-17.86,-20.93,659.06,-8.38,630.22,363.01,22.01,21.08,0.05,1.01,4.57,1.45,113.79,19.79,28.88,-2002.793,1623.27,177.04,946.54,-21.23,-20.93,1.01,-95.66,-20.93,1.01,7.590636024,-347,-802,1096,-2.436093753,-2.855102525,0.853242128
2021_26,(주)에스지(SG)다인힐,56123,4,1,2,1,2020,-3.32,29.31,-9.11,-174.3,-1.58,-2.88,14545.84,-3.48,8312.54,138.92,73.12,65.53,25.08,3.16,60.54,6.05,74.38,93.24,1207.37,-566.838,6225.31,123.84,369.1,-9.11,-2.88,3.16,-174.3,-2.88,3.16,146.4576371,-248,-1602,1400,-34.73054785,-63.26734884,0.548949
2021_27,(주)에이치앤홀딩스,56111,1,2,1,1,2020,23.08,291.8,-3.54,-28.48,68.57,-8.62,958.87,2.28,1035.87,498.5,2.7,2.7,0.18,0.41,3.3,0.42,0,15.57,0,25037.267,1892.7,15343.12,12357.6,-3.54,-8.62,0.41,-28.48,-8.62,0.41,10.58867636,-1903,-24772,22573,-11.59431958,1.45835145,-7.950291804
2021_28,(주)에이티컴퍼니,56111,1,1,1,1,2020,-30.82,-41.22,-43.69,-231.98,-14.19,-28.78,69.21,-10.93,107.71,107.71,88.86,88.86,59.56,1.52,8.06,2.21,0,54.18,421.83,-915.919,2095.13,76.67,226.24,-43.69,-28.78,1.52,-231.98,-28.78,1.52,1.692115538,-583,182,1072,-2.202069208,-4.465560281,0.493122715
2021_29,(주)엔타스,56300,11,2,2,1,2020,5.91,-18.27,-12.71,-59.16,-1.79,-17.69,119.45,-0.41,184.73,158.84,33.66,32.42,14.7,0.72,3.34,0.9,128.59,26.96,43.03,-1310.599,21946.96,510.96,3549.31,-12.71,-17.69,0.72,-59.16,-17.69,0.72,2.194542918,995,221,675,-5.652071258,-55.84711999,0.101206137
2021_30,(주)엔타스에스디,56111,1,2,2,1,2020,11.63,-18.26,10.75,17.76,12.81,10.21,60.8,27.24,108.97,101.67,96.66,94.96,80.84,1.05,1.74,1.5,154.53,57.38,99.74,1640.608,4174.87,55.96,793.47,10.75,10.21,1.05,17.76,10.21,1.05,1.607960982,2385,-933,27,9.795050281,7.80801359,1.254486838
2021_31,(주)엘에프푸드,56122,3,1,2,1,2020,7.46,68.37,-9.92,-14.02,-12.48,-15.51,57.4,-13.93,117.84,106.48,84.65,31.99,3.16,0.64,0.9,0.8,5.24,3.81,39.35,-13157.322,14386.64,387.33,8469.75,-9.92,-15.51,0.64,-14.02,-15.51,0.64,1.574004862,-5339,-4577,9890,-1.278876771,-1.590107755,0.804270507
2021_32,(주)오발탄에프에스,56111,1,1,1,1,2020,2.54,-29.89,4.86,10.48,11.57,8.8,112.17,5.76,153.54,144.4,55.4,54.71,40.09,0.55,1.19,0.76,164.86,30.44,47.95,733.492,1929.46,109.97,198.52,4.86,8.8,0.55,10.48,8.8,0.55,2.121708744,507,-260,-400,8.017809431,6.101079012,1.31416253
2021_33,(주)월향,56111,1,1,1,1,2020,-52.04,-76.22,-21.89,0,-90.29,-61.82,0,-164.27,0,0,16.07,16.07,0.11,0.35,0,0.53,16.83,17.87,1207.26,-2671.509,2236.97,-124.34,0,-21.89,-61.82,0.35,0,-61.82,0.35,-2.816765679,0,0,0,-0.833720859,-0.570837695,1.460521731
2021_34,(주)이디야,56221,10,1,1,1,2020,19.74,1.43,8,14.67,6.28,4.9,87.52,20.69,149.23,115.37,65.82,34.19,0.7,1.63,2.99,2.06,22.51,31.41,47.1,13457.794,25348.91,597.55,3406.04,8,4.9,1.63,14.67,4.9,1.63,1.875240826,2360,-20789,14145,7.644570394,5.96826424,1.280869963
2021_35,(주)이랜드이츠,56300,11,1,2,1,2020,-40.84,-1.8,-42.68,-93.1,-27.5,-28.91,216.75,-562.25,175.74,87.12,122.58,92.73,36.03,1.48,3.22,3.18,16.65,-34.44,-146.65,-63003.893,6041.73,-806.61,25959.5,-42.68,-28.91,1.48,-93.1,-28.91,1.48,3.167526999,-40962,20919,5342,0.083303848,0.087558094,0.951412304
2021_36,(주)이바돔,56111,1,1,2,1,2020,-26.77,-42.46,-24.44,0,-19.17,-24.97,0,-5.51,0,0,16.73,4.75,0.15,0.98,0,1.25,7.6,14.47,34.51,-10511.699,9032.12,1536.18,4222.66,-24.44,-24.97,0.98,0,-24.97,0.98,-5.39715497,4246,1700,-7713,-0.979678389,-1.275853103,0.767861431
2021_37,(주)장충동왕족발,56111,1,1,1,1,2020,-4.42,19.77,6.39,18.31,10.67,7.95,156.57,7.32,203.93,102.7,90.74,69.81,5.07,0.8,2.3,0.99,17.12,20.43,26.75,2476.815,2423.82,322.99,1122.14,6.39,7.95,0.8,18.31,7.95,0.8,2.56565602,3256,999,-4225,5.464495359,4.073353495,1.341522499
2021_38,(주)재원푸드,56191,5,1,1,1,2020,-13.07,-22.25,-4.68,-6.83,-3.5,-3.08,46.18,,50.44,38.59,618.86,556.18,96.84,1.52,2.22,4.92,19.92,19.61,1233.87,-1000.073,4699.03,-170.01,221.86,-4.68,-3.08,1.52,-6.83,-3.08,1.52,1.461782517,96,2595,-1143,-16.03812414,-14.10986647,1.136660235
2021_39,(주)전한,56113,1,2,1,2,2020,-5.61,-18.33,0.61,1.39,1.51,0.41,118.71,1.63,162.33,121.86,65.94,62.78,25.57,1.49,3.37,1.99,100.73,69.17,148.81,547.754,19890.75,411.04,3961.82,0.61,0.41,1.49,1.39,0.41,1.49,2.187134205,2841,-3140,-242,139.9596744,38.30945646,3.653397551
2021_40,(주)정정당당,56111,1,2,1,1,2020,-6.04,-16.03,-7.82,-38.2,-4.79,-4.57,571.91,-18.87,322.04,67.64,178.69,156.55,1.14,1.71,8.37,3.59,26.75,89.05,522.1,-3126.092,28727.1,-326.18,1601.47,-7.82,-4.57,1.71,-38.2,-4.57,1.71,6.719114549,7799,-7533,-699,-13.34614702,-12.71800745,1.049389779
2021_41,(주)제너시스비비큐,56193,7,1,2,1,2020,55.03,31.26,3.7,8.62,16.58,1.6,171.21,681.28,83.27,79.94,112.51,106.89,59.57,2.31,5.38,6.74,69.46,18.18,160.87,54111.346,15380.28,-132.78,2890.83,3.7,1.6,2.31,8.62,1.6,2.31,2.712120087,42958,-7221,-259,22.45536214,2.171385542,10.34149012
2021_42,(주)젠푸드,56122,3,1,1,1,2020,10.29,-4.49,5.49,10.1,4.63,4.69,83.66,54.96,87.44,64.6,199.15,162.35,123.81,1.17,2.15,2.41,14.3,17.82,47.6,1441.152,1463.98,-79.43,987.59,5.49,4.69,1.17,10.1,4.69,1.17,1.836593762,3382,-1430,89,9.241657471,9.363174857,0.987021775
2021_43,(주)준코,56212,9,1,1,1,2020,-33.52,-39.41,-34.31,0,-18.63,-22.34,0,-6.08,0,0,8.39,8.39,0.12,1.54,0,1.72,0,98.89,802.91,-1079.54,13021.94,1347.78,10094.85,-34.31,-22.34,1.54,0,-22.34,1.54,-3.033502556,1038,211,-1290,-3.223092032,-3.864972983,0.833923561
2021_44,(주)차우,56111,1,2,2,1,2020,1.51,-60.3,22.35,31.75,-103.5,1156.22,6.56,-1.91,95.73,95.73,165.05,164.11,3.86,0.02,0.03,0.02,24.9,30.06,40799.15,-691.263,670.11,-2.22,13.41,22.35,1156.22,0.02,31.75,1156.22,0.02,1.065573384,-258,18205,-18140,0.017913162,-0.200113053,-0.089515208
2021_45,(주)채선당,56111,1,1,2,1,2020,-14.04,-31.17,-5.64,-9.06,-4.09,-3.3,55.54,-585.26,76.31,56.25,398.48,328.47,161.73,1.71,2.74,3.69,17.12,32.88,88.1,-1297.661,5404.26,-34.73,496.34,-5.64,-3.3,1.71,-9.06,-3.3,1.71,1.555393258,73,-2351,-395,-9.296846533,-7.509793152,1.237963063
2021_46,(주)캘리스코,56122,3,1,1,2,2020,-14.85,-25.21,-23.3,-124.55,-13.81,-16.38,1498.34,-10.98,1234.91,283.69,31.25,29.35,11.63,1.42,7.6,1.75,58,11.18,27.76,-9664.555,4392.65,699.02,9744.46,-23.3,-16.38,1.42,-124.55,-16.38,1.42,15.98340914,-587,1286,2087,0.103306527,0.122535687,0.843072983
2021_47,(주)커피빈코리아,56221,10,2,1,2,2020,-6.23,-23.09,-11.36,-26.65,-14.45,-13.75,162.05,-12.32,197.58,135.97,55.23,45.21,2.58,0.83,1.94,1,19.98,27.35,82.61,-18043.696,24581.57,-312.39,12063.13,-11.36,-13.75,0.83,-26.65,-13.75,0.83,2.620460118,-1502,-1661,4623,-3.493880166,-3.323844808,1.051156226
2021_48,(주)탐앤탐스,56221,10,1,1,1,2020,-44.37,-20.23,-7.5,-19.7,-5.64,-12.06,108.03,-1.74,152.75,121.06,67.53,56.74,4.6,0.62,1.63,0.78,20.73,9.19,42.9,-4696.555,4677.46,1741.51,2535.64,-7.5,-12.06,0.62,-19.7,-12.06,0.62,2.080303931,-6559,41599,-34262,-3.112240408,-6.650253898,0.467988209
2021_49,(주)태범,56191,5,1,1,2,2020,-18.21,-3.48,-16.21,0,34.02,-172.5,0,0.94,0,0,2.41,2.38,0.49,0.09,0,0.11,267.11,-11.5,-11.97,90.926,298.75,782.73,278.96,-16.21,-172.5,0.09,0,-172.5,0.09,-3.493091785,-410,825,-583,-0.496910461,2.519516363,-0.197224542
2021_50,(주)태성골뱅이,56111,1,1,1,1,2020,20.15,-96.68,-3.74,0,-3455.26,-3770.26,0,-11.69,0,0,55.25,55.25,53.15,0,0,0,0,-0.17,-0.19,-562.469,439.36,44.18,8.63,-3.74,-3770.26,0,0,-3770.26,0,-36.29065947,1403,-1141,1409,-0.026523323,-0.028941382,0.916449765
2021_51,(주)파리크라상,56191,5,1,2,1,2020,-2.04,-3.52,-5.83,-13.52,1.96,-5.25,148.12,2.86,218.79,150.78,28.47,23.02,1.7,1.11,2.58,1.26,51.25,19.25,43.06,25719.728,204542.63,8964.31,85821.66,-5.83,-5.25,1.11,-13.52,-5.25,1.11,2.481199414,105867,-121342,17891,-9.25552867,24.78894706,-0.373373207
2021_52,(주)페리카나,56193,7,1,1,1,2020,8.18,-0.95,6.11,9.29,4.26,2.89,51.06,92.6,87.55,74.44,189.83,186.73,107.53,2.11,3.21,3.86,251.07,16.42,40.89,2196.11,2031.34,-159.41,105.38,6.11,2.89,2.11,9.29,2.89,2.11,1.510638381,2567,-1125,-52,4.951636908,3.359014728,1.474133729
2021_53,(주)평가옥푸드시스템,56111,1,1,1,2,2020,-3.75,-22.96,-2.1,-21.46,-1.94,-5.43,1022.16,-0.53,1101.95,567.25,2.18,2.07,1.29,0.39,3.96,0.39,390.95,16.24,17.9,-258.61,1250.92,168.62,329.12,-2.1,-5.43,0.39,-21.46,-5.43,0.39,11.22157064,110,113,-181,-12.89136924,-35.99441049,0.358149198
2021_54,(주)풀무원푸드앤컬처,56300,11,1,2,2,2020,-3.11,-26.27,-12.78,-86.65,-7.45,-9.36,982.72,-3.01,975.08,125.23,35.39,32.07,2.24,1.37,9.26,1.55,141.64,7.85,10.77,-43253.397,20482.58,10263.5,40316.66,-12.78,-9.36,1.37,-86.65,-9.36,1.37,10.82723217,1245,-17548,8857,0.089272815,0.112178704,0.795808938
